planner,seed,faults_fired,term,sci,energy,termination,science_return,energy_spent,success
astar,400022,0,energy_exhausted,0.0,363.02467592580535,energy_exhausted,0.0,363.02467592580535,False
astar,400023,0,energy_exhausted,0.0,405.3013224721919,energy_exhausted,0.0,405.3013224721919,False
astar,400024,0,success,0.0,283.27047348600655,success,0.0,283.27047348600655,True
astar,400025,0,success,0.0,515.4676503159145,success,0.0,515.4676503159145,True
astar,400026,1,success,2.908728450954972,400.3193685599383,success,2.908728450954972,400.3193685599383,True
astar,400027,0,success,0.0,234.58772190986838,success,0.0,234.5877219098684,True
astar,400028,0,energy_exhausted,0.0,411.2958981866092,energy_exhausted,0.0,411.2958981866092,False
astar,400029,0,success,1.9269961299693577,273.398595838127,success,1.9269961299693577,273.398595838127,True
astar,400030,0,immobilized,0.0,269.76143620128295,immobilized,0.0,269.76143620128295,False
astar,400031,0,energy_exhausted,2.674855726775574,363.32321894859615,energy_exhausted,2.674855726775574,363.32321894859615,False
astar,400032,0,success,0.0,275.20977374947597,success,0.0,275.20977374947597,True
astar,400033,0,success,1.236935143682114,231.06125556556287,success,1.236935143682114,231.06125556556287,True
astar,400034,0,success,0.0,206.97195053227108,success,0.0,206.97195053227108,True
astar,400035,0,energy_exhausted,0.0,404.6532943866332,energy_exhausted,0.0,404.6532943866332,False
astar,400036,1,energy_exhausted,2.464250800806634,514.0135708139329,energy_exhausted,2.464250800806634,514.0135708139329,False
astar,400037,0,immobilized,0.0,273.4657351841189,immobilized,0.0,273.4657351841189,False
astar,400038,0,energy_exhausted,0.0,420.85914586045413,energy_exhausted,0.0,420.85914586045413,False
astar,400039,0,success,0.0,183.9579694053718,success,0.0,183.9579694053718,True
astar,400040,1,energy_exhausted,0.0,552.5382129041947,energy_exhausted,0.0,552.5382129041947,False
astar,400041,0,immobilized,0.0,351.9334416257222,immobilized,0.0,351.9334416257222,False
astar,400042,0,immobilized,2.6825081225760576,356.58963350103875,immobilized,2.6825081225760576,356.58963350103875,False
astar,400043,0,success,0.0,354.7638399699037,success,0.0,354.7638399699037,True
astar,400044,0,success,0.0,298.924801346521,success,0.0,298.924801346521,True
astar,400045,0,energy_exhausted,0.0,436.3080600945537,energy_exhausted,0.0,436.3080600945537,False
astar,400046,0,immobilized,1.0759328114998117,336.1051706565473,immobilized,1.0759328114998117,336.1051706565473,False
astar,400047,0,immobilized,0.0,300.00354956420244,immobilized,0.0,300.00354956420244,False
astar,400048,1,success,0.0,442.9441218826865,success,0.0,442.9441218826865,True
astar,400049,0,immobilized,0.0,313.06756207362577,immobilized,0.0,313.06756207362577,False
astar,400050,0,immobilized,0.0,305.5544833209701,immobilized,0.0,305.5544833209701,False
astar,400051,1,timeout,1.9844359736195682,824.5309745772208,timeout,1.984435973619568,824.5309745772208,False
astar,400052,0,success,0.0,582.2423115754632,success,0.0,582.2423115754632,True
astar,400053,0,energy_exhausted,2.8428104718997353,396.87116744100655,energy_exhausted,2.8428104718997353,396.87116744100655,False
risk_aware_astar,400004,0,energy_exhausted,0.0,384.81258879272633,energy_exhausted,0.0,384.81258879272633,False
risk_aware_astar,400005,0,energy_exhausted,1.7572859911266732,407.85396780352147,energy_exhausted,1.7572859911266732,407.8539678035214,False
risk_aware_astar,400006,0,success,2.660266403645624,307.214268879876,success,2.660266403645624,307.214268879876,True
risk_aware_astar,400007,0,energy_exhausted,0.0,368.71131874933997,energy_exhausted,0.0,368.71131874934,False
risk_aware_astar,400008,0,energy_exhausted,0.0,966.9395553669555,energy_exhausted,0.0,966.9395553669556,False
risk_aware_astar,400009,0,energy_exhausted,2.9643442354033516,428.64866522366583,energy_exhausted,2.9643442354033516,428.64866522366583,False
risk_aware_astar,400010,0,energy_exhausted,4.648062636397613,471.04877410500944,energy_exhausted,4.648062636397613,471.04877410500944,False
