final_coverage,steps_taken,rovers_alive,n_rovers,energy_used,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.4090666666666667,250,4,4,395.6562000000003,0.0010338942411787465,potential_field,5,48,250,16,0.0
0.857707509881423,250,4,4,395.94020000000035,0.0021662551816699145,potential_field,6,48,250,16,0.0
0.4683815648445874,250,4,4,393.23000000000025,0.0011911135082384027,potential_field,7,48,250,16,0.0
0.4841558441558442,250,3,4,448.3640000000005,0.0010798276493113712,potential_field,0,48,250,16,0.25
0.4188260179799048,250,3,4,495.91440000000017,0.0008445530478241904,potential_field,1,48,250,16,0.25
0.47078280044101434,250,3,4,493.1036000000005,0.0009547340567803883,potential_field,2,48,250,16,0.25
0.7203219315895373,250,3,4,476.8258000000004,0.0015106605632277798,potential_field,3,48,250,16,0.25
0.3724944320712695,250,3,4,451.3996000000007,0.0008251988527931104,potential_field,4,48,250,16,0.25
0.4090666666666667,250,3,4,489.4468000000003,0.0008357735032013009,potential_field,5,48,250,16,0.25
0.857707509881423,250,3,4,475.58880000000033,0.0018034644841960583,potential_field,6,48,250,16,0.25
0.4683815648445874,250,3,4,488.4348000000002,0.0009589438853345158,potential_field,7,48,250,16,0.25
0.4841558441558442,250,4,4,394.9640000000004,0.0012258227184144472,potential_field,0,48,250,40,0.0
0.4188260179799048,250,4,4,396.46700000000016,0.0010563956596132962,potential_field,1,48,250,40,0.0
0.47078280044101434,250,4,4,394.57340000000045,0.0011931437862790898,potential_field,2,48,250,40,0.0
0.7203219315895373,250,4,4,395.7630000000004,0.0018200840694798063,potential_field,3,48,250,40,0.0
0.3724944320712695,250,4,4,394.9996000000006,0.0009430248336232971,potential_field,4,48,250,40,0.0
0.4090666666666667,250,4,4,395.6562000000003,0.0010338942411787465,potential_field,5,48,250,40,0.0
0.8982213438735178,250,4,4,395.36040000000037,0.002271905187958928,potential_field,6,48,250,40,0.0
0.4683815648445874,250,4,4,393.23000000000025,0.0011911135082384027,potential_field,7,48,250,40,0.0
0.4841558441558442,250,3,4,448.3640000000005,0.0010798276493113712,potential_field,0,48,250,40,0.25
0.4188260179799048,250,3,4,495.91440000000017,0.0008445530478241904,potential_field,1,48,250,40,0.25
0.47078280044101434,250,3,4,493.1036000000005,0.0009547340567803883,potential_field,2,48,250,40,0.25
0.7203219315895373,250,3,4,476.8258000000004,0.0015106605632277798,potential_field,3,48,250,40,0.25
0.3724944320712695,250,3,4,451.3996000000007,0.0008251988527931104,potential_field,4,48,250,40,0.25
0.4090666666666667,250,3,4,489.4468000000003,0.0008357735032013009,potential_field,5,48,250,40,0.25
0.8982213438735178,250,3,4,475.0090000000004,0.0018909564742426292,potential_field,6,48,250,40,0.25
0.4683815648445874,250,3,4,488.4348000000002,0.0009589438853345158,potential_field,7,48,250,40,0.25
0.2888311688311688,250,4,4,394.8516000000012,0.0007314929680699481,pheromone,0,48,250,6,0.0
0.6240084611316764,250,4,4,394.1592000000006,0.0015831381358894462,pheromone,1,48,250,6,0.0
0.860529217199559,250,4,4,395.94080000000133,0.002173378487894039,pheromone,2,48,250,6,0.0
0.26006036217303824,250,4,4,396.502600000001,0.0006558856415393937,pheromone,3,48,250,6,0.0
0.7076837416481069,250,4,4,395.1124000000013,0.0017910947407575783,pheromone,4,48,250,6,0.0
