seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve_fraction,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,solar_rate,resume_charge_fraction,prior_body,max_slope_deg,condition,split
300028,success,True,7.242844775725143,9.85630330427927,4,5,626.6923038351628,558.9973678273449,112.30506399217857,68.54721172654095,346,341.5046173579958,27,0,0.17258756200544853,294,211061,0.024305212248053265,7,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300029,success,True,10.325239545931181,10.325239545931181,5,5,411.90574092050025,307.13867773627527,75.23293681577324,72.69464434055135,197,228.45079348883274,0,0,0.16967967167558787,163,94990,0.024294873595466226,4,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300030,success,True,7.759790814612954,7.759790814612954,5,5,320.2157936165742,227.3381641636923,87.12237054711692,83.44092093002368,143,169.33809511662443,0,0,0.18155920713797977,92,56534,0.029051899488557464,0,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300031,success,True,9.738499033236684,9.738499033236684,5,5,327.9445662233015,263.54196091741306,115.59739469411063,71.7549795769343,168,164.50966799187808,13,0,0.1892965188189641,113,66235,0.018415832079984318,4,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300032,success,True,4.015779272574372,8.097170601900395,3,5,546.603183339461,479.51501621805306,112.91183287858985,31.461435953737716,302,258.00714267493686,37,1,0.18255440257531821,302,270792,0.052672541268241724,10,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300033,success,True,7.57660196868175,10.683349792295159,3,5,634.4084410195425,565.2615981216003,110.85315710205452,34.10527962338956,356,284.8772003600259,53,0,0.18622194943348583,250,151554,0.12934178014260422,16,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300034,success,True,4.978699210388102,8.81410520029832,3,5,437.90031048791957,369.70787157301874,111.80756108509583,65.15375875276787,234,223.72287142747476,17,0,0.18152578933435148,243,218585,0.07538857050935477,8,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300035,success,True,10.625604088545508,10.625604088545508,5,5,465.7738743713654,374.4224493919325,88.64857502056466,88.66857502056466,238,270.35028842544455,0,0,0.16752978628276335,150,121990,0.018579376118203816,6,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300036,energy_exhausted,False,9.161683812988315,9.161683812988315,5,5,405.96794148888654,287.9174212494826,61.94947976059418,61.96947976059418,194,227.1076477383251,0,0,0.1563454281345991,117,99305,0.045199240648721384,4,34.0147027033899,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300037,success,True,5.326512813698244,9.52221642450207,3,5,505.14221369799986,438.2231024506815,113.08088875267931,67.64189511538167,274,279.6639969244293,14,0,0.170438294692083,263,241837,0.01778900399653549,9,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
