corrected,seed,cls,n,mean,sd,truth,covered,abs_error
False,200017,0,16,0.11508294631232971,0.0049844478627922685,0.12,True,0.004917053687670286
False,200017,2,5,0.7461285128571391,0.008856148855400953,0.62,False,0.1261285128571391
False,200017,3,1,0.6347505452718367,0.019069251784911846,0.06,False,0.5747505452718367
False,200017,4,1,0.09362583040386661,0.019069251784911846,0.26,False,0.16637416959613338
False,200018,0,11,0.14654402886280493,0.006003002251876642,0.12,False,0.026544028862804936
False,200018,1,3,0.13580180655383045,0.011359236684941296,0.14,True,0.0041981934461695625
False,200018,2,7,0.5444861086100867,0.007505866250408015,0.62,False,0.07551389138991327
False,200018,3,1,0.6469334589643293,0.019069251784911846,0.06,False,0.5869334589643294
False,200018,4,4,0.24600031791759883,0.009877295966495897,0.26,True,0.013999682082401183
False,200019,0,9,0.22202734762631482,0.006629935441317959,0.12,False,0.10202734762631482
False,200019,1,1,0.6904672364467606,0.019069251784911846,0.14,False,0.5504672364467605
False,200019,2,32,0.60644255682232,0.0035300225480910394,0.62,False,0.01355744317768004
False,200019,3,2,0.5575536053984954,0.013801311186847085,0.06,False,0.4975536053984954
False,200019,4,3,0.6155555988952135,0.011359236684941296,0.26,False,0.3555555988952135
False,200020,0,124,0.11819332499554992,0.0017953292430792744,0.12,True,0.001806675004450073
False,200020,1,3,0.3286875069045429,0.011359236684941296,0.14,False,0.1886875069045429
False,200020,2,6,0.5188259225162889,0.00809776330178916,0.62,False,0.1011740774837111
False,200020,3,4,0.052695638496680866,0.009877295966495897,0.06,True,0.007304361503319132
False,200020,4,2,0.11405225374087613,0.013801311186847085,0.26,False,0.14594774625912388
False,200021,0,11,0.11304462242741829,0.006003002251876642,0.12,True,0.006955377572581703
False,200021,1,251,0.1352933121347755,0.0012621374094379217,0.14,False,0.004706687865224518
False,200021,2,11,0.5024445367282026,0.006003002251876642,0.62,False,0.11755546327179744
False,200021,3,5,0.32585328865932567,0.008856148855400953,0.06,False,0.26585328865932567
False,200021,4,3,0.2621995731406811,0.011359236684941296,0.26,True,0.002199573140681088
False,200022,0,15,0.12908951682273434,0.005146850126549788,0.12,True,0.009089516822734345
