seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,prior_body,max_slope_deg,condition,split
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,420.62810600545504,7.867798230705085,0.5730255585832735,0.5930255585832735,32,29.89949493661167,0,3,0.36073282176978694,33,9423,0.025355986553031062,1,7.0710678118654755,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,0.0,20,10,moon,25.0,mars_comm_delay,ood
400000,success,True,6.284689184666288,6.284689184666288,3,3,293.68382531341126,10.155236482385478,129.80474450230793,129.82474450230794,38,41.79898987322332,0,0,0.29146354471583547,23,2850,0.01610703743481634,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400001,timeout,False,1.8472381300983158,6.878417360830329,1,3,259.2973266461523,40.308390486206726,194.34439717338364,168.58455225166185,180,18.48528137423857,82,1,0.3002433756972729,97,4296,0.023707453610006257,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,324.5549809973536,5.0695756503127845,93.84792798629229,93.86792798629229,22,21.656854249492383,0,1,0.3769576033469214,24,7613,0.00867604980540393,0,2.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400003,timeout,False,1.137787667753198,5.008044798502872,1,3,410.15480337258737,53.200582324507344,56.37911228524951,22.99697736370333,180,48.87005768508879,69,1,0.23438187819531364,105,10696,0.027410590229193454,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400000,timeout,False,2.670109748863812,6.284689184666288,1,3,344.3857997891007,42.31614482603525,111.2636783702654,82.20565392272978,180,11.65685424949238,84,3,0.2942970292871903,110,522,0.15544298118928745,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,360.169239091353,3.4649568552290546,56.62905109720955,56.64905109720955,13,11.65685424949238,0,2,0.4400673036998299,16,427,0.025789111586617786,0,6.324555320336759,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,402.8759892038241,5.17638521246222,15.633729341971458,15.653729341971458,23,21.242640687119284,0,2,0.4173230775647816,25,1053,0.006501432786021555,0,2.23606797749979,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,413.6448889919769,7.337192533021385,7.025636874377891,7.045636874377891,30,28.899494936611667,0,2,0.34733879546537144,27,1022,0.021952595867875013,1,8.06225774829855,mars,astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400000,energy_exhausted,False,6.284689184666288,6.284689184666288,3,3,397.24048202530093,9.568461403883026,25.661312711915862,25.68131271191586,36,37.970562748477136,0,1,0.30022711591087636,23,2962,0.015198290690969452,1,2.23606797749979,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400001,timeout,False,1.8472381300983158,6.878417360830329,1,3,347.61300796827294,40.39023257900749,106.11055794406484,80.54899427952576,180,17.65685424949238,82,2,0.31551961522525307,101,5582,0.023228201447302976,0,0.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,328.8022005508561,4.996074375218168,89.52720715769516,89.54720715769515,22,21.656854249492383,0,1,0.3852944885036403,24,7815,0.007627682286477366,0,2.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
