final_coverage,steps_taken,rovers_alive,n_rovers,energy_spent,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.6927551560021152,250,3,4,872.752308678998,0.0007937591789939492,frontier,1,48,250,12,0.25
0.6659316427783903,250,3,4,874.4558441227157,0.0007615383295270626,frontier,2,48,250,12,0.25
0.6212273641851107,250,3,4,873.0315292925767,0.0007115749469993317,frontier,3,48,250,12,0.25
0.6057142857142858,250,2,4,751.2325394193534,0.0008062939954417544,frontier,0,48,250,12,0.5
0.5795875198307774,250,2,4,751.7279220613578,0.0007710070396766106,frontier,1,48,250,12,0.5
0.6504961411245865,250,2,4,753.6274169979695,0.0008631534979390741,frontier,2,48,250,12,0.5
0.6212273641851107,250,2,4,751.0315292925767,0.0008271654916675294,frontier,3,48,250,12,0.5
0.6057142857142858,250,4,4,994.2325394193534,0.0006092279840971931,frontier,0,48,250,24,0.0
0.4997355896351137,250,4,4,994.970562748477,0.0005022616832548885,frontier,1,48,250,24,0.0
0.6719955898566703,250,4,4,995.4264068711929,0.0006750831454922673,frontier,2,48,250,24,0.0
0.6287726358148893,250,4,4,994.1686142824252,0.0006324607584486332,frontier,3,48,250,24,0.0
0.6057142857142858,250,3,4,873.2325394193534,0.0006936460316939734,frontier,0,48,250,24,0.25
0.4997355896351137,250,3,4,872.970562748477,0.0005724541135290252,frontier,1,48,250,24,0.25
0.6719955898566703,250,3,4,874.4264068711929,0.00076849873765953,frontier,2,48,250,24,0.25
0.6182092555331992,250,3,4,874.274169979696,0.0007071114265534762,frontier,3,48,250,24,0.25
0.6057142857142858,250,2,4,751.2325394193534,0.0008062939954417544,frontier,0,48,250,24,0.5
0.4997355896351137,250,2,4,752.970562748477,0.0006636854272376726,frontier,1,48,250,24,0.5
0.6565600882028666,250,2,4,753.5979797464466,0.0008712338751541914,frontier,2,48,250,24,0.5
0.6182092555331992,250,2,4,752.274169979696,0.0008217871624515364,frontier,3,48,250,24,0.5
0.6057142857142858,250,4,4,994.2325394193534,0.0006092279840971931,frontier,0,48,250,48,0.0
0.4997355896351137,250,4,4,994.970562748477,0.0005022616832548885,frontier,1,48,250,48,0.0
0.6719955898566703,250,4,4,995.4264068711929,0.0006750831454922673,frontier,2,48,250,48,0.0
0.6287726358148893,250,4,4,994.1686142824252,0.0006324607584486332,frontier,3,48,250,48,0.0
0.6057142857142858,250,3,4,873.2325394193534,0.0006936460316939734,frontier,0,48,250,48,0.25
0.4997355896351137,250,3,4,872.970562748477,0.0005724541135290252,frontier,1,48,250,48,0.25
0.6719955898566703,250,3,4,874.4264068711929,0.00076849873765953,frontier,2,48,250,48,0.25
0.6182092555331992,250,3,4,874.274169979696,0.0007071114265534762,frontier,3,48,250,48,0.25
0.6057142857142858,250,2,4,751.2325394193534,0.0008062939954417544,frontier,0,48,250,48,0.5
0.4997355896351137,250,2,4,752.970562748477,0.0006636854272376726,frontier,1,48,250,48,0.5
0.6565600882028666,250,2,4,753.5979797464466,0.0008712338751541914,frontier,2,48,250,48,0.5
0.6182092555331992,250,2,4,752.274169979696,0.0008217871624515364,frontier,3,48,250,48,0.5
0.43636363636363634,250,4,4,994.6173157302037,0.0004387251553561358,pheromone,0,48,250,3,0.0
0.2749867794817557,250,4,4,994.1017305526675,0.0002766183490384608,pheromone,1,48,250,3,0.0
0.8087100330760749,250,4,4,994.568542494924,0.0008131264950803552,pheromone,2,48,250,3,0.0
0.2535211267605634,250,4,4,995.849855149557,0.0002545776609291061,pheromone,3,48,250,3,0.0
0.43636363636363634,250,3,4,872.3746750430844,0.0005002020907382318,pheromone,0,48,250,3,0.25
0.2749867794817557,250,3,4,886.6214998123114,0.00031015126470536477,pheromone,1,48,250,3,0.25
0.8054024255788313,250,3,4,875.0832611206854,0.0009203723363961773,pheromone,2,48,250,3,0.25
0.2535211267605634,250,3,4,905.3401871576782,0.00028002857970603815,pheromone,3,48,250,3,0.25
0.43636363636363634,250,2,4,750.3036072312188,0.0005815827515129664,pheromone,0,48,250,3,0.5
0.2749867794817557,250,2,4,815.9108216936561,0.0003370304353984937,pheromone,1,48,250,3,0.5
0.8059536934950385,250,2,4,752.1126983722081,0.0010715863397059485,pheromone,2,48,250,3,0.5
0.2535211267605634,250,2,4,782.3401871576782,0.00032405484330497137,pheromone,3,48,250,3,0.5
0.2888311688311688,250,4,4,994.8569978244943,0.0002903243073756037,pheromone,0,48,250,6,0.0
0.6240084611316764,250,4,4,994.1656556895957,0.0006276705069829006,pheromone,1,48,250,6,0.0
0.860529217199559,250,4,4,995.9411254969546,0.0008640362318306439,pheromone,2,48,250,6,0.0
0.26006036217303824,250,4,4,996.5067093990494,0.00026097201325404976,pheromone,3,48,250,6,0.0
0.2888311688311688,250,3,4,902.9331162702424,0.0003198810228871076,pheromone,0,48,250,6,0.25
0.6240084611316764,250,3,4,896.5849198858514,0.0006959836679063506,pheromone,1,48,250,6,0.25
0.860529217199559,250,3,4,873.284271247462,0.0009853941557544797,pheromone,2,48,250,6,0.25
0.26006036217303824,250,3,4,905.9970414071706,0.0002870432797099639,pheromone,3,48,250,6,0.25
0.2779220779220779,250,2,4,802.2518754031098,0.00034642745806288033,pheromone,0,48,250,6,0.5
0.34108937070333156,250,2,4,800.6265504461942,0.00042602805329556,pheromone,1,48,250,6,0.5
0.860529217199559,250,2,4,751.6274169979697,0.0011448880093232197,pheromone,2,48,250,6,0.5
0.26006036217303824,250,2,4,783.9970414071706,0.0003317108974113785,pheromone,3,48,250,6,0.5
0.6909090909090909,250,4,4,994.6782822743035,0.0006946055857672362,pheromone,0,48,250,12,0.0
0.8281332628239026,250,4,4,994.5798692519688,0.0008326463147165326,pheromone,1,48,250,12,0.0
0.8880926130099228,250,4,4,995.1126983722083,0.0008924543063942933,pheromone,2,48,250,12,0.0
0.42505030181086517,250,4,4,996.8914857098997,0.00042637569675718634,pheromone,3,48,250,12,0.0
0.6909090909090909,250,3,4,902.7544007200515,0.0007653345033355812,pheromone,0,48,250,12,0.25
0.8281332628239026,250,3,4,896.9991334482245,0.0009232263799859102,pheromone,1,48,250,12,0.25
0.8880926130099228,250,3,4,872.6274169979697,0.0010177225648778682,pheromone,2,48,250,12,0.25
0.3656941649899396,250,3,4,875.6488450227804,0.0004176265029852531,pheromone,3,48,250,12,0.25
0.4737662337662338,250,2,4,781.1269837220818,0.0006065162817813956,pheromone,0,48,250,12,0.5
0.5118984664198837,250,2,4,798.9696961967018,0.000640698225297718,pheromone,1,48,250,12,0.5
